Body. SootClass: com.inneractive.api.ads.sdk.IAmraidWebViewController, SootMethod: <com.inneractive.api.ads.sdk.IAmraidWebViewController: void setNativeCloseButtonEnabled(boolean)>, Stmt: virtualinvoke $r2.<android.widget.ImageView: void setOnClickListener(android.view.View$OnClickListener)>($r9)
Body. SootClass: com.google.android.gms.plus.PlusOneButton, SootMethod: <com.google.android.gms.plus.PlusOneButton: void setOnPlusOneClickListener(com.google.android.gms.plus.PlusOneButton$OnPlusOneClickListener)>, Stmt: virtualinvoke $r2.<android.view.View: void setOnClickListener(android.view.View$OnClickListener)>($r3)
Body. SootClass: com.google.android.gms.wallet.fragment.WalletFragment$c, SootMethod: <com.google.android.gms.wallet.fragment.WalletFragment$c: void a(android.widget.FrameLayout)>, Stmt: virtualinvoke $r2.<android.widget.Button: void setOnClickListener(android.view.View$OnClickListener)>($r0)
Body. SootClass: com.facebook.widget.h, SootMethod: <com.facebook.widget.h: void a()>, Stmt: virtualinvoke $r3.<com.facebook.widget.i: void setOnClickListener(android.view.View$OnClickListener)>($r18)
Body. SootClass: com.inmobi.re.container.IMWebView, SootMethod: <com.inmobi.re.container.IMWebView: void a(android.view.View,android.view.View$OnKeyListener)>, Stmt: virtualinvoke $r2.<android.view.View: void setOnKeyListener(android.view.View$OnKeyListener)>($r1)
Body. SootClass: com.mopub.mobileads.util.Interstitials, SootMethod: <com.mopub.mobileads.util.Interstitials: boolean addCloseEventRegion(android.view.ViewGroup,android.view.ViewGroup$LayoutParams,android.view.View$OnClickListener)>, Stmt: virtualinvoke $r4.<android.widget.Button: void setOnClickListener(android.view.View$OnClickListener)>($r2)
Body. SootClass: com.facebook.ads.VideoAdActivity, SootMethod: <com.facebook.ads.VideoAdActivity: void onCreate(android.os.Bundle)>, Stmt: virtualinvoke $r7.<android.widget.ImageButton: void setOnTouchListener(android.view.View$OnTouchListener)>($r13)
Body. SootClass: com.facebook.ads.VideoAdActivity, SootMethod: <com.facebook.ads.VideoAdActivity: void onCreate(android.os.Bundle)>, Stmt: virtualinvoke $r7.<android.widget.ImageButton: void setOnClickListener(android.view.View$OnClickListener)>($r15)
Body. SootClass: com.tapjoy.mraid.view.Browser, SootMethod: <com.tapjoy.mraid.view.Browser: void onCreate(android.os.Bundle)>, Stmt: virtualinvoke $r11.<android.widget.ImageButton: void setOnClickListener(android.view.View$OnClickListener)>($r14)
Body. SootClass: com.flurry.sdk.g, SootMethod: <com.flurry.sdk.g: void x()>, Stmt: virtualinvoke $r1.<android.widget.Button: void setOnClickListener(android.view.View$OnClickListener)>($r6)
Body. SootClass: com.nexage.android.interstitial.VideoAd, SootMethod: <com.nexage.android.interstitial.VideoAd: void createUi()>, Stmt: virtualinvoke $r13.<android.widget.ImageButton: void setOnClickListener(android.view.View$OnClickListener)>($r20)
Body. SootClass: com.millennialmedia.android.MMAdView, SootMethod: <com.millennialmedia.android.MMAdView: void init(android.content.Context)>, Stmt: virtualinvoke $r0.<com.millennialmedia.android.MMAdView: void setOnClickListener(android.view.View$OnClickListener)>($r0)
