Body. SootClass: com.actionbarsherlock.internal.widget.ActionBarView, SootMethod: <com.actionbarsherlock.internal.widget.ActionBarView: void initTitle()>, Stmt: virtualinvoke $r1.<android.widget.LinearLayout: void setOnClickListener(android.view.View$OnClickListener)>($r6)
Body. SootClass: org.yuttadhammo.tipitaka.SearchActivity, SootMethod: <org.yuttadhammo.tipitaka.SearchActivity: void onCreate(android.os.Bundle)>, Stmt: virtualinvoke $r12.<android.widget.TextView: void setOnClickListener(android.view.View$OnClickListener)>($r17)
Body. SootClass: com.actionbarsherlock.widget.ActivityChooserView, SootMethod: <com.actionbarsherlock.widget.ActivityChooserView: void <init>(android.content.Context,android.util.AttributeSet,int)>, Stmt: virtualinvoke $r14.<android.widget.FrameLayout: void setOnClickListener(android.view.View$OnClickListener)>($r10)
Body. SootClass: org.yuttadhammo.tipitaka.SearchActivity, SootMethod: <org.yuttadhammo.tipitaka.SearchActivity: void onCreate(android.os.Bundle)>, Stmt: virtualinvoke $r12.<android.widget.TextView: void setOnClickListener(android.view.View$OnClickListener)>($r13)
Body. SootClass: org.yuttadhammo.tipitaka.SearchActivity, SootMethod: <org.yuttadhammo.tipitaka.SearchActivity: void onCreate(android.os.Bundle)>, Stmt: virtualinvoke $r12.<android.widget.TextView: void setOnClickListener(android.view.View$OnClickListener)>($r22)
Body. SootClass: org.yuttadhammo.tipitaka.BookmarkEnglishActivity, SootMethod: <org.yuttadhammo.tipitaka.BookmarkEnglishActivity: void showSortingDialog()>, Stmt: virtualinvoke $r6.<android.widget.Button: void setOnClickListener(android.view.View$OnClickListener)>($r7)
Body. SootClass: org.yuttadhammo.tipitaka.ReadBookActivity, SootMethod: <org.yuttadhammo.tipitaka.ReadBookActivity: void onCreate(android.os.Bundle)>, Stmt: virtualinvoke $r15.<android.widget.Button: void setOnClickListener(android.view.View$OnClickListener)>($r20)
Body. SootClass: org.yuttadhammo.tipitaka.SelectBookActivity, SootMethod: <org.yuttadhammo.tipitaka.SelectBookActivity: void onCreate(android.os.Bundle)>, Stmt: virtualinvoke $r12.<android.widget.Gallery: void setOnItemSelectedListener(android.widget.AdapterView$OnItemSelectedListener)>($r19)
Body. SootClass: org.yuttadhammo.tipitaka.SearchDialog, SootMethod: <org.yuttadhammo.tipitaka.SearchDialog: void onCreate(android.os.Bundle)>, Stmt: virtualinvoke $r16.<android.widget.EditText: void setOnEditorActionListener(android.widget.TextView$OnEditorActionListener)>($r19)
Body. SootClass: org.yuttadhammo.tipitaka.SearchActivity, SootMethod: <org.yuttadhammo.tipitaka.SearchActivity: void onCreate(android.os.Bundle)>, Stmt: virtualinvoke $r25.<android.widget.ListView: void setOnItemLongClickListener(android.widget.AdapterView$OnItemLongClickListener)>($r27)
Body. SootClass: org.yuttadhammo.tipitaka.BookmarkPaliActivity, SootMethod: <org.yuttadhammo.tipitaka.BookmarkPaliActivity: void onCreate(android.os.Bundle)>, Stmt: virtualinvoke $r3.<android.widget.ListView: void setOnItemLongClickListener(android.widget.AdapterView$OnItemLongClickListener)>($r10)
Body. SootClass: org.yuttadhammo.tipitaka.BookmarkThaiActivity, SootMethod: <org.yuttadhammo.tipitaka.BookmarkThaiActivity: void showSortingDialog()>, Stmt: virtualinvoke $r6.<android.widget.Button: void setOnClickListener(android.view.View$OnClickListener)>($r7)
