Body. SootClass: com.amaze.filemanager.fragments.preference_fragments.Preffrag$8, SootMethod: <com.amaze.filemanager.fragments.preference_fragments.Preffrag$8: boolean onPreferenceClick(android.preference.Preference)>, Stmt: virtualinvoke $r16.<android.widget.TextView: void setOnClickListener(android.view.View$OnClickListener)>($r20)
Body. SootClass: com.amaze.filemanager.fragments.ProcessViewer$2, SootMethod: <com.amaze.filemanager.fragments.ProcessViewer$2: void onReceive(android.content.Context,android.content.Intent)>, Stmt: virtualinvoke $r23.<android.widget.ImageButton: void setOnClickListener(android.view.View$OnClickListener)>($r25)
Body. SootClass: com.amaze.filemanager.fragments.Main, SootMethod: <com.amaze.filemanager.fragments.Main: android.view.View onCreateView(android.view.LayoutInflater,android.view.ViewGroup,android.os.Bundle)>, Stmt: virtualinvoke $r4.<android.view.View: void setOnTouchListener(android.view.View$OnTouchListener)>($r8)
Body. SootClass: com.amaze.filemanager.activities.MainActivity, SootMethod: <com.amaze.filemanager.activities.MainActivity: void onCreate(android.os.Bundle)>, Stmt: virtualinvoke $r23.<com.github.clans.fab.FloatingActionButton: void setOnClickListener(android.view.View$OnClickListener)>($r24)
Body. SootClass: com.amaze.filemanager.adapters.ZipAdapter, SootMethod: <com.amaze.filemanager.adapters.ZipAdapter: void onBindViewHolder(android.support.v7.widget.RecyclerView$ViewHolder,int)>, Stmt: virtualinvoke $r10.<android.widget.ImageView: void setOnClickListener(android.view.View$OnClickListener)>($r16)
Body. SootClass: com.amaze.filemanager.adapters.Recycleradapter, SootMethod: <com.amaze.filemanager.adapters.Recycleradapter: void onBindViewHolder(android.support.v7.widget.RecyclerView$ViewHolder,int)>, Stmt: virtualinvoke $r12.<android.widget.ImageView: void setOnClickListener(android.view.View$OnClickListener)>($r19)
Body. SootClass: com.amaze.filemanager.activities.MainActivity, SootMethod: <com.amaze.filemanager.activities.MainActivity: void bbar(com.amaze.filemanager.fragments.Main)>, Stmt: virtualinvoke $r2.<android.widget.Button: void setOnLongClickListener(android.view.View$OnLongClickListener)>($r28)
Body. SootClass: com.amaze.filemanager.fragments.ProcessViewer$3, SootMethod: <com.amaze.filemanager.fragments.ProcessViewer$3: void onReceive(android.content.Context,android.content.Intent)>, Stmt: virtualinvoke $r23.<android.widget.ImageButton: void setOnClickListener(android.view.View$OnClickListener)>($r25)
Body. SootClass: com.amaze.filemanager.adapters.RarAdapter, SootMethod: <com.amaze.filemanager.adapters.RarAdapter: void onBindViewHolder(android.support.v7.widget.RecyclerView$ViewHolder,int)>, Stmt: virtualinvoke $r9.<android.widget.ImageView: void setOnClickListener(android.view.View$OnClickListener)>($r18)
Body. SootClass: com.afollestad.materialdialogs.MaterialDialog, SootMethod: <com.afollestad.materialdialogs.MaterialDialog: void invalidateList()>, Stmt: virtualinvoke $r1.<android.widget.ListView: void setOnItemClickListener(android.widget.AdapterView$OnItemClickListener)>($r0)
