Body. SootClass: com.ijinshan.software.recommand.l, SootMethod: <com.ijinshan.software.recommand.l: void b()>, Stmt: virtualinvoke $r7.<android.widget.ListView: void setOnItemClickListener(android.widget.AdapterView$OnItemClickListener)>($r8)
Body. SootClass: com.keniu.security.importx.BaseImportActivity, SootMethod: <com.keniu.security.importx.BaseImportActivity: android.app.Dialog onCreateDialog(int)>, Stmt: virtualinvoke $r2.<android.app.ProgressDialog: void setOnCancelListener(android.content.DialogInterface$OnCancelListener)>($r4)
Body. SootClass: com.keniu.security.protection.u, SootMethod: <com.keniu.security.protection.u: void b()>, Stmt: virtualinvoke $r10.<android.widget.TextView: void setOnClickListener(android.view.View$OnClickListener)>($r0)
Body. SootClass: com.ijinshan.software.recommand.g, SootMethod: <com.ijinshan.software.recommand.g: void onPostExecute(java.lang.Object)>, Stmt: virtualinvoke $r8.<android.widget.ListView: void setOnItemClickListener(android.widget.AdapterView$OnItemClickListener)>($r9)
Body. SootClass: com.ijinshan.kinghelper.firewall.aq, SootMethod: <com.ijinshan.kinghelper.firewall.aq: android.view.View getView(int,android.view.View,android.view.ViewGroup)>, Stmt: virtualinvoke $r7.<android.view.View: void setOnClickListener(android.view.View$OnClickListener)>($r0)
Body. SootClass: com.keniu.security.main.MainActivity, SootMethod: <com.keniu.security.main.MainActivity: android.app.Dialog onCreateDialog(int)>, Stmt: virtualinvoke $r13.<android.widget.EditText: void setOnKeyListener(android.view.View$OnKeyListener)>($r14)
Body. SootClass: com.jxphone.mosecurity.logic.i, SootMethod: <com.jxphone.mosecurity.logic.i: void a(com.keniu.security.a)>, Stmt: virtualinvoke $r2.<android.widget.TextView: void setOnTouchListener(android.view.View$OnTouchListener)>($r3)
Body. SootClass: com.keniu.security.g.a, SootMethod: <com.keniu.security.g.a: void a(int)>, Stmt: virtualinvoke $r8.<android.widget.TextView: void setOnClickListener(android.view.View$OnClickListener)>($r13)
Body. SootClass: com.keniu.security.sync.ui.LoginAct, SootMethod: <com.keniu.security.sync.ui.LoginAct: void onCreate(android.os.Bundle)>, Stmt: virtualinvoke $r8.<android.widget.TextView: void setOnClickListener(android.view.View$OnClickListener)>($r0)
Body. SootClass: com.keniu.security.main.MainActivity, SootMethod: <com.keniu.security.main.MainActivity: void M()>, Stmt: virtualinvoke $r6.<android.widget.Button: void setOnClickListener(android.view.View$OnClickListener)>($r7)
Body. SootClass: com.keniu.security.commui.b, SootMethod: <com.keniu.security.commui.b: void a(android.view.View)>, Stmt: virtualinvoke $r1.<android.view.View: void setOnClickListener(android.view.View$OnClickListener)>($r0)
Body. SootClass: com.jxphone.mosecurity.activity.friend.FriendActivity, SootMethod: <com.jxphone.mosecurity.activity.friend.FriendActivity: void I()>, Stmt: virtualinvoke $r2.<android.widget.ListView: void setOnItemLongClickListener(android.widget.AdapterView$OnItemLongClickListener)>($r4)
